2013-06-25 15:21:07 INFO  AnnotationConfigApplicationContext:510 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@604c442b: startup date [Tue Jun 25 15:21:07 CEST 2013]; root of context hierarchy
2013-06-25 15:21:08 INFO  DefaultListableBeanFactory:596 - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@76e5b3b9: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,hiperionNodeJettyServerConfig,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,context,servletMapping,serverConnector,dispatcherServlet,servletHolder,servletHandler,jettyServer]; root of factory hierarchy
2013-06-25 15:21:08 INFO  DispatcherServlet:454 - FrameworkServlet 'DefaultServlet': initialization started
2013-06-25 15:21:08 INFO  AnnotationConfigWebApplicationContext:510 - Refreshing WebApplicationContext for namespace 'DefaultServlet-servlet': startup date [Tue Jun 25 15:21:08 CEST 2013]; root of context hierarchy
2013-06-25 15:21:08 INFO  AnnotationConfigWebApplicationContext:230 - Successfully resolved class for [org.hiperion.node.config.HiperionNodeSpringConfig]
2013-06-25 15:21:08 INFO  AnnotationConfigWebApplicationContext:230 - Successfully resolved class for [org.hiperion.node.config.HiperionNodeSpringServerConfig]
2013-06-25 15:21:08 WARN  ConfigurationClassEnhancer:278 - @Bean method HiperionNodeSpringConfig.propertyPlaceholderConfigurer is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean Javadoc for complete details
2013-06-25 15:21:08 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from file [E:\documents\education\FERSEM10\DR\source\hiperion\hiperion-node\etc\hiperion-node.properties]
2013-06-25 15:21:08 INFO  DefaultListableBeanFactory:596 - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@56ddfbad: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,hiperionNodeSpringConfig,hiperionNodeSpringServerConfig,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,emailNotificationAction,gmailNotificationService,readDataSourceAction,stdOutputAction,cameraDataSourceService,httpDataSourceService,rasipDataSourceService,waspmoteDataSourceService,waspmoteSerialPortListener,yahooWeatherDataSourceService,nodeService,httpClient,gmailClient,credentials,gmailConnection,clientConnectionManager,stringParameterConverter,openCVPictureService,hiperionPushDataService,waspmoteParser,serialPortConnection,propertyPlaceholderConfigurer,simpleUrlHandlerMapping,httpInvokerServiceExporter]; root of factory hierarchy
2013-06-25 15:21:08 INFO  GmailNotificationService:48 - Gmail message sender service started.
2013-06-25 15:21:08 INFO  EmailNotificationAction:56 - Action initialized.
2013-06-25 15:21:09 INFO  ReadDataSourceAction:67 - Action initialized
2013-06-25 15:21:09 INFO  CameraDataSourceService:62 - Data source service initialized.
2013-06-25 15:21:09 INFO  HttpDataSourceService:80 - Data source service initialized.
2013-06-25 15:21:09 INFO  WaspmoteDataSourceService:78 - Waspmote data service started.
2013-06-25 15:21:09 INFO  NodeService:30 - Node service created.
2013-06-25 15:21:09 INFO  SimpleUrlHandlerMapping:315 - Mapped URL path [/service/NodeAction] onto handler of type [class org.springframework.remoting.httpinvoker.HttpInvokerServiceExporter]
2013-06-25 15:21:09 INFO  DispatcherServlet:473 - FrameworkServlet 'DefaultServlet': initialization completed in 1153 ms
2013-06-25 15:21:29 INFO  NodeService:70 - Data collected from data source: CAMERA
